source_id,source_url,name,price,compare_at_price,categories,image_url,concentration,form,storage_requirements
peptide:d89f2e46abe1db185937574816f79450,https://www.corepeptides.com/peptides/cjc-1295-ghrp-6-10mg-blend/,CJC-1295 & GHRP-6 Blend – 10MG,69.00,75.00,Blends|Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2020/04/CJC-1295-GHRP-6-5-5MG-265x265.jpg,10MG,Lyophilized blend,Store according to the supplier documentation. Research use only.
peptide:9c575f8ad9243ebcff712f9523dcd963,https://www.corepeptides.com/peptides/cjc-1295-ipamorelin-10mg-blend/,CJC-1295 & Ipamorelin Blend – 10MG,80.00,,Blends|Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2020/04/CJC-1295-Ipamorelin-5-5mg-265x265.jpg,10MG,Lyophilized blend,Store according to the supplier documentation. Research use only.
peptide:54b7fb30694be615e28c0295cbfad11b,https://www.corepeptides.com/peptides/cjc-1295-dac-5mg/,CJC-1295 DAC – 5MG,52.00,,Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2020/04/CJC-1295-DAC-5MG-265x265.jpg,5MG,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:ff744fcbef7e422ccc167dd0bbf0ae10,https://www.corepeptides.com/peptides/cjc-1295-no-dac-mod-grf-1-29/,CJC-1295 NO DAC (Mod GRF 1-29) – 5MG,41.00,,Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2020/04/Mod-GRF-1-29-5mg-265x265.jpg,5MG,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:fdd94c65928731c7bb04ebc8d0394b03,https://www.corepeptides.com/peptides/cortagen/,Cortagen – 20MG,59.00,,Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2025/11/Cortagen-20mg--265x265.png,20MG,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:db47889eadd7c27506325abe00ac6837,https://www.corepeptides.com/peptides/decapeptide-12-topical-200mg/,Decapeptide-12 – 200MG,240.00,,Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2023/04/DECAPEPTIDE-12-200mg-265x265.jpg,200MG,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:035804d624506d8882364c5951bf242e,https://www.corepeptides.com/peptides/dsip-5mg/,DSIP – 5MG,41.00,,Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2020/04/DSIP-5MG-265x265.jpg,5MG,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:4a7228fcf0d29c2509db2012958520dc,https://www.corepeptides.com/peptides/epitalon-25mg/,Epithalon – 25MG,90.00,,Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2020/04/Epithalon-5MG-265x265.webp,25MG,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:73001d7a808ca379abd481ee8eb34ba9,https://www.corepeptides.com/peptides/follistatin-344-1mg/,Follistatin-344 – 1MG,138.00,,Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2021/12/Follistatin-344-1MG-265x265.jpg,1MG,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:c60524c26cc4626013114cec0a3bdc6f,https://www.corepeptides.com/peptides/foxo4-dri-10mg/,FOXO4-DRI – 10MG,235.00,,Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2022/01/FOXO4-DRI-10mg-265x265.jpg,10MG,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:1d4cd771980303b031dbab2b5978ba3f,https://www.corepeptides.com/peptides/fragment-176-191/,Fragment 176-191 – 5MG,44.00,,Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2022/12/Fragment-176-191-5MG-265x265.jpg,5MG,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:7782d1bd48953090ae124a105f8339d0,https://www.corepeptides.com/peptides/fragment-176-191-cjc-1295-ipamorelin-blend-12mg/,Fragment 176-191 & CJC-1295 & Ipamorelin Blend – 12MG,73.00,,Blends|Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2020/04/Frag-176-191-CJC-1295-Ipamorelin-6-3-3MG-265x265.jpg,12MG,Lyophilized blend,Store according to the supplier documentation. Research use only.
peptide:caa1683a87ca2b16f83806902fcb80b4,https://www.corepeptides.com/peptides/fragment-176-191-mod-grf-1-29-ipamorelin-blend-12mg/,Fragment 176-191 & Mod GRF 1-29 & Ipamorelin Blend – 12MG,73.00,,Blends|Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2020/04/Frag-176-191-Mod-GRF-1-29-Ipamorelin-6-3-3MG-265x265.jpg,12MG,Lyophilized blend,Store according to the supplier documentation. Research use only.
peptide:357fac2e657e0c8ae0321261239a81d1,https://www.corepeptides.com/peptides/ghk-basic-50mg/,GHK Basic – 50MG,49.00,,Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2022/11/GHK-Basic-50MG-265x265.jpg,50MG,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:770d30a6ddfdb86f8785258bb2fad4b1,https://www.corepeptides.com/peptides/ghk-basic-tripeptide-1-200mg/,GHK Basic (Tripeptide-1) – 200MG,157.00,,Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2023/04/GHK-BASIC-200MG-265x265.jpg,200MG,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:751f44ea7a8bcdee99b3d2b41db7b41d,https://www.corepeptides.com/peptides/ghk-cu-topical-200mg/,GHK-Cu – 200MG,197.00,,Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2023/04/GHK-CU-200mg-265x265.jpg,200MG,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:15c1196ffb33d7b6cb29338e056dbf2e,https://www.corepeptides.com/peptides/ghk-cu-50mg-copper/,GHK-Cu (Copper) – 50MG,58.00,69.00,Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2020/04/GHK-CU-50mg-265x265.jpg,50MG,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:7889e0e134fa09678173987a4d762119,https://www.corepeptides.com/peptides/ghrp-2/,GHRP-2 – 5MG / 10MG,29.00,,Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2020/04/GHRP-2-265x265.webp,5MG,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:0b36ccc637a3310a7e0cff23138a1d64,https://www.corepeptides.com/peptides/ghrp-6/,GHRP-6 – 5MG / 10MG,29.00,,Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2020/04/GHRP-6-265x265.jpg,5MG,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:411ccb27d2dec57b6eb86252296827a4,https://www.corepeptides.com/peptides/gonadorelin-10mg/,Gonadorelin (GnRH) – 10MG,90.00,,Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2021/12/Gonadorelin-GnRH-10MG-265x265.jpg,10MG,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:474df156cf08a4f353275aa156b7dfe4,https://www.corepeptides.com/peptides/hexarelin-5mg/,Hexarelin – 5MG,47.00,57.00,Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2020/04/Hexarelin-5MG-265x265.jpg,5MG,Lyophilized powder,Store according to the supplier documentation. Research use only.
peptide:2a31764f7d8a5fa9fc22ed768242c8a5,https://www.corepeptides.com/peptides/humanin-10mg/,Humanin – 10MG,147.00,,Peptides,https://cdn-ilelbmd.nitrocdn.com/ZuZRqRWYWMDzGPLeOzCTFysCOlhyeoPd/assets/images/optimized/rev-5f6ec1d/www.corepeptides.com/wp-content/uploads/2021/10/Humanin-10mg-265x265.jpg,10MG,Lyophilized powder,Store according to the supplier documentation. Research use only.
